title,budget,revenue,runtime,genres,release_date,production_companies,director
A Working Man,40000000,79768317,116,"Action, Crime, Thriller",2025-03-26,"Cedar Park Entertainment, BlockFilm, Punch Palace Productions, Balboa Productions, Black Bear Pictures, Fifth Season, CAT5",David Ayer
In the Lost Lands,55000000,4755330,102,"Fantasy, Adventure, Action",2025-02-27,"Constantin Film, Spark Productions",Paul W. S. Anderson
A Minecraft Movie,150000000,662526515,101,"Family, Comedy, Adventure, Fantasy",2025-03-31,"Warner Bros. Pictures, Legendary Pictures, Mojang Studios, Vertigo Entertainment, On the Roam, Domain Entertainment",Jared Hess
Novocaine,18000000,33561854,110,"Action, Comedy, Thriller",2025-03-12,"Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix",Dan Berk
Captain America: Brave New World,180000000,414245291,119,"Action, Thriller, Science Fiction",2025-02-12,"Marvel Studios, Kevin Feige Productions",Julius Onah
The Woman in the Yard,12000000,22192377,87,"Horror, Mystery",2025-03-27,"Blumhouse Productions, Homegrown Pictures",Jaume Collet-Serra
The Passion of the Christ,30000000,612060372,127,Drama,2004-02-25,Icon Productions,Mel Gibson
Sinners,90000000,26100000,138,"Drama, Horror, Thriller",2025-04-16,"Warner Bros. Pictures, Proximity Media, Domain Entertainment",Ryan Coogler
Moana 2,150000000,1059544057,99,"Animation, Adventure, Family, Comedy",2024-11-21,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios",David G. Derrick Jr.
Mufasa: The Lion King,200000000,721046090,118,"Adventure, Family, Animation",2024-12-18,Walt Disney Pictures,Barry Jenkins
Sonic the Hedgehog 3,122000000,486018457,110,"Action, Science Fiction, Comedy, Family, Adventure, Fantasy",2024-12-19,"Paramount Pictures, Original Film, Marza Animation Planet, SEGA, Blur Studio, SEGA of America",Jeff Fowler
Mickey 17,118000000,127337252,137,"Science Fiction, Comedy, Adventure",2025-02-28,"Warner Bros. Pictures, Plan B Entertainment, Offscreen, Kate Street Picture Company, Domain Entertainment",Bong Joon Ho
Flight Risk,25000000,40420193,91,"Action, Thriller",2025-01-22,"Davis Entertainment, Icon Productions, Hammerstone Studios, Media Capital Technologies",Mel Gibson
The Amateur,60000000,32203738,123,"Thriller, Action",2025-04-09,"20th Century Studios, Hutch Parker Entertainment, Joel B. Michaels Productions",James Hawes
Peter Pan's Neverland Nightmare,250000,315648,89,"Horror, Thriller, Fantasy",2025-01-13,Jagged Edge Productions,Scott Chambers
Snow White,270000000,181620880,109,"Family, Fantasy",2025-03-19,"Walt Disney Pictures, Marc Platt Productions",Marc Webb
